lat,lon,Grid_ID
24.80871,67.49086,86
25.1751,67.49086,87
25.29699,67.49086,88
25.41875,67.49086,89
25.54039,67.49086,90
25.66191,67.49086,91
25.78331,67.49086,92
25.90458,67.49086,93
26.02572,67.49086,94
26.14674,67.49086,95
26.26764,67.49086,96
26.38841,67.49086,97
26.50905,67.49086,98
26.62957,67.49086,99
26.74996,67.49086,100
26.87022,67.49086,101
26.99036,67.49086,102
27.11037,67.49086,103
27.23024,67.49086,104
27.34999,67.49086,105
27.46961,67.49086,106
27.5891,67.49086,107
27.70846,67.49086,108
27.82769,67.49086,109
23.9496,67.62561,110
24.07268,67.62561,111
24.19565,67.62561,112
24.3185,67.62561,113
24.44123,67.62561,114
24.56385,67.62561,115
24.68634,67.62561,116
24.80871,67.62561,117
24.93096,67.62561,118
25.05309,67.62561,119
25.1751,67.62561,120
25.29699,67.62561,121
25.41875,67.62561,122
25.54039,67.62561,123
25.66191,67.62561,124
25.78331,67.62561,125
25.90458,67.62561,126
26.02572,67.62561,127
26.14674,67.62561,128
26.26764,67.62561,129
26.38841,67.62561,130
26.50905,67.62561,131
26.62957,67.62561,132
26.74996,67.62561,133
26.87022,67.62561,134
26.99036,67.62561,135
27.11037,67.62561,136
27.23024,67.62561,137
27.34999,67.62561,138
27.46961,67.62561,139
27.5891,67.62561,140
27.70846,67.62561,141
27.82769,67.62561,142
23.82639,67.76035,143
23.9496,67.76035,144
24.07268,67.76035,145
24.19565,67.76035,146
24.3185,67.76035,147
24.44123,67.76035,148
24.56385,67.76035,149
24.68634,67.76035,150
24.80871,67.76035,151
24.93096,67.76035,152
25.05309,67.76035,153
25.1751,67.76035,154
25.29699,67.76035,155
25.41875,67.76035,156
25.54039,67.76035,157
25.66191,67.76035,158
25.78331,67.76035,159
25.90458,67.76035,160
26.02572,67.76035,161
26.14674,67.76035,162
26.26764,67.76035,163
26.38841,67.76035,164
26.50905,67.76035,165
26.62957,67.76035,166
26.74996,67.76035,167
26.87022,67.76035,168
26.99036,67.76035,169
27.11037,67.76035,170
27.23024,67.76035,171
27.34999,67.76035,172
27.46961,67.76035,173
27.5891,67.76035,174
27.70846,67.76035,175
27.82769,67.76035,176
23.9496,67.8951,177
24.07268,67.8951,178
24.19565,67.8951,179
24.3185,67.8951,180
24.44123,67.8951,181
24.56385,67.8951,182
24.68634,67.8951,183
24.80871,67.8951,184
24.93096,67.8951,185
25.05309,67.8951,186
25.1751,67.8951,187
25.29699,67.8951,188
25.41875,67.8951,189
25.54039,67.8951,190
25.66191,67.8951,191
25.78331,67.8951,192
25.90458,67.8951,193
26.02572,67.8951,194
26.14674,67.8951,195
26.26764,67.8951,196
26.38841,67.8951,197
26.50905,67.8951,198
26.62957,67.8951,199
26.74996,67.8951,200
26.87022,67.8951,201
26.99036,67.8951,202
27.11037,67.8951,203
27.23024,67.8951,204
27.34999,67.8951,205
27.46961,67.8951,206
27.5891,67.8951,207
27.70846,67.8951,208
27.82769,67.8951,209
27.94679,67.8951,210
23.82639,68.02985,211
23.9496,68.02985,212
24.07268,68.02985,213
24.19565,68.02985,214
24.3185,68.02985,215
24.44123,68.02985,216
24.56385,68.02985,217
24.68634,68.02985,218
24.80871,68.02985,219
24.93096,68.02985,220
25.05309,68.02985,221
25.1751,68.02985,222
25.29699,68.02985,223
25.41875,68.02985,224
25.54039,68.02985,225
25.66191,68.02985,226
25.78331,68.02985,227
25.90458,68.02985,228
26.02572,68.02985,229
26.14674,68.02985,230
26.26764,68.02985,231
26.38841,68.02985,232
26.50905,68.02985,233
26.62957,68.02985,234
26.74996,68.02985,235
26.87022,68.02985,236
26.99036,68.02985,237
27.11037,68.02985,238
27.23024,68.02985,239
27.34999,68.02985,240
27.46961,68.02985,241
27.5891,68.02985,242
27.70846,68.02985,243
27.82769,68.02985,244
27.94679,68.02985,245
28.06576,68.02985,246
23.9496,68.1646,247
24.07268,68.1646,248
24.19565,68.1646,249
24.3185,68.1646,250
24.44123,68.1646,251
24.56385,68.1646,252
24.68634,68.1646,253
24.80871,68.1646,254
24.93096,68.1646,255
25.05309,68.1646,256
25.1751,68.1646,257
25.29699,68.1646,258
25.41875,68.1646,259
25.54039,68.1646,260
25.66191,68.1646,261
25.78331,68.1646,262
25.90458,68.1646,263
26.02572,68.1646,264
26.14674,68.1646,265
26.26764,68.1646,266
26.38841,68.1646,267
26.50905,68.1646,268
26.62957,68.1646,269
26.74996,68.1646,270
26.87022,68.1646,271
26.99036,68.1646,272
27.11037,68.1646,273
27.23024,68.1646,274
27.34999,68.1646,275
27.46961,68.1646,276
27.5891,68.1646,277
27.70846,68.1646,278
27.82769,68.1646,279
27.94679,68.1646,280
28.06576,68.1646,281
28.1846,68.1646,282
23.9496,68.29934,283
24.07268,68.29934,284
24.19565,68.29934,285
24.3185,68.29934,286
24.44123,68.29934,287
24.56385,68.29934,288
24.68634,68.29934,289
24.80871,68.29934,290
24.93096,68.29934,291
25.05309,68.29934,292
25.1751,68.29934,293
25.29699,68.29934,294
25.41875,68.29934,295
25.54039,68.29934,296
25.66191,68.29934,297
25.78331,68.29934,298
25.90458,68.29934,299
26.02572,68.29934,300
26.14674,68.29934,301
26.26764,68.29934,302
26.38841,68.29934,303
26.50905,68.29934,304
26.62957,68.29934,305
26.74996,68.29934,306
26.87022,68.29934,307
26.99036,68.29934,308
27.11037,68.29934,309
27.23024,68.29934,310
27.34999,68.29934,311
27.46961,68.29934,312
27.5891,68.29934,313
27.70846,68.29934,314
27.82769,68.29934,315
27.94679,68.29934,316
28.06576,68.29934,317
28.1846,68.29934,318
24.07268,68.43409,319
